rank,name,team,obpr,dbpr,bpr,poss,box_obpr,box_dbpr,box_bpr,adj_team_off_eff,adj_team_def_eff,adj_team_eff_margin,plus_minus,players,color_O,color_D,color_Diff
914,Jalen Haralson,Notre Dame,1.21032,0.966336,2.176656,1214,2.38614068848842,0.736361616847596,3.12250230533602,106.306036116471,103.873604266829,2.43243184964217,-93,2483783,#FFF3E4,#FFEED9,#FFF0DF
915,Victor Valdes,Troy,0.886672,1.28942,2.176092,1568,1.43534479423507,0.761067688079408,2.19641248231448,108.671304254238,104.751793342989,3.91951091124894,109,2114182,#FFF6EB,#FFE9CD,#FFF0DF
916,Brant Byers,Miami (OH),2.39999,-0.224257,2.175733,1658,1.26711811623659,-0.997078488969544,0.270039627267042,116.100167366604,104.432287115149,11.6678802514554,246,2320433,#FFE7CA,#F4F8FC,#FFF0DF
917,Dylan Andrews,Boise State,2.14386,0.0315854,2.1754454,1465,1.56799676414998,0.227408194258095,1.79540495840808,114.218707276581,105.008210977871,9.21049629870974,46,1898034,#FFEACF,#FFFEFD,#FFF0DF
918,Josh Reed,Penn State,2.06911,0.103074,2.172184,1519,2.54027296672979,1.01708498335458,3.55735795008437,110.20662927877,110.981105770675,-0.774476491904919,-146,1908270,#FFEAD1,#FFFDFB,#FFF0DF
919,Brody Whitaker,Valparaiso,1.84817,0.320187,2.168357,1334,2.14563258250747,-0.450305605997384,1.69532697651009,106.274833548721,102.734802766941,3.54003078177993,51,2286445,#FFEDD6,#FFF9F2,#FFF0DF
920,JJ Harper,Liberty,1.30199,0.866189,2.168179,1300,2.6363716276532,0.863535941401394,3.49990756905459,111.040201062583,106.917149830716,4.12305123186683,54,1909455,#FFF2E2,#FFF0DD,#FFF0DF
921,Keyshuan Tillery,Cincinnati,0.718505,1.44734,2.165845,660,-0.0352164782341004,0.633321270428634,0.598104792194533,109.248236836366,93.3812607405885,15.8669760957779,39,2492970,#FFF8EF,#FFE6C7,#FFF0DF
922,Jahari Williamson,Kent State,2.93651,-0.773875,2.162635,1434,3.32682884087927,-0.790297910797027,2.53653093008224,111.155085351214,106.853365293901,4.30172005731297,84,2117914,#FFE2BE,#DBE9F4,#FFF1DF
923,Ahmad Nowell,VCU,2.29903,-0.141074,2.157956,518,1.75722684969793,0.115073499402402,1.87230034910033,117.364954499043,105.433606806454,11.9313476925889,50,2313593,#FFE8CC,#F8FBFD,#FFF1DF
924,Kareem Stagg,Georgia,1.1733,0.983716,2.157016,728,1.08364519482578,0.829418397514436,1.91306359234022,120.183064130844,99.8678828801494,20.3151812506945,88,2477835,#FFF3E5,#FFEED9,#FFF1DF
925,Maki Johnson,East Tennessee State,1.77019,0.38231,2.1525,1206,0.53317386673967,0.0226218168045553,0.555795683544226,112.629148488761,104.81947436974,7.80967411902045,177,2126368,#FFEDD8,#FFF8F0,#FFF1DF
926,Austin Swartz,Creighton,2.03577,0.115683,2.151453,1118,2.71612555678155,0.728520791384115,3.44464634816567,111.011728532836,105.602262560874,5.40946597196259,-40,2319602,#FFEBD2,#FFFDFA,#FFF1DF
927,Cooper Schwieger,Wake Forest,1.72232,0.425896,2.148216,1122,1.04090575513798,1.10435468414501,2.14526043928299,115.159488504854,105.299182495666,9.86030600918786,-15,2117918,#FFEED9,#FFF7EE,#FFF1DF
